id,class,Ni,Pb,Cu,Cd,Sr,Co,Be,Li,Tl,V,Cr,Zn,Cs,U,Ga,Rb,Yb,Nd,Y,Dy,Er,Gd,Pr,Sm,Al,Ca,K,Mg,Na,Ti,Fe,Mn,P,S
1,Cropland,31.46,21.47,28.11,0.21,10.96,12.44,1.59,43.87,0.51,99.56,79.54,78.63,1.98,2.6,9.57,60.06,0.05,0.33,0.3,0.08,0.05,0.07,0.09,0.09,23.6,6.47,16.53,6.92,8.42,5.35,28.84,0.52,0.59,0.16
2,Cropland,31.26,19.8,28.19,0.18,13.83,12.54,1.65,44.74,0.51,96.76,79.05,79.39,1.74,2.84,9.92,64.97,0.08,0.57,0.45,0.12,0.08,0.12,0.15,0.15,28.7,7.31,17.09,7.62,8.12,5.25,28.82,0.52,0.59,0.13
3,Cropland,31.71,19.8,28.47,0.17,12.72,12.64,1.68,44.76,0.51,96.32,79.84,79.59,2.03,2.7,9.78,63.79,0.07,0.45,0.36,0.1,0.06,0.09,0.13,0.13,31.59,6.19,16.69,7.53,8.11,5.28,27.74,0.52,0.59,0.17
4,Woodland,32.15,23.33,32.47,0.28,16.06,11.6,1.57,43.71,0.49,88.43,72.74,78.6,4.33,1.86,9.92,76.95,0.08,0.43,0.37,0.11,0.07,0.09,0.12,0.13,34.2,7.4,17.05,8.69,10.74,4.74,28.04,0.66,0.53,0.21
5,Woodland,32.42,23.97,33.15,0.29,17.98,11.97,1.6,45.9,0.5,91.88,72.35,78.52,3.93,1.94,10.4,77.49,0.1,0.55,0.41,0.12,0.08,0.11,0.15,0.15,38.43,7.66,17.66,8.9,10.68,4.69,27.98,0.64,0.53,0.23
6,Woodland,32.42,23.81,34.17,0.29,18.04,11.81,1.63,45.8,0.5,89.79,76.87,82.22,3.83,1.97,10.25,75.74,0.1,0.62,0.45,0.14,0.09,0.12,0.17,0.17,32.87,7.61,17.63,8.72,10.91,4.76,28.55,0.64,0.53,0.25
7,Channelbank,39.72,21.92,29.74,0.16,26.39,14.41,2.05,46.64,0.56,110.68,89.18,85.46,8.64,2.11,12.58,123.5,0.52,1.73,2.2,0.68,0.43,0.52,0.43,0.53,44.77,12.73,20.26,9.13,8.52,4.49,34.73,0.62,0.53,0.08
8,Channelbank,40.16,22,29.83,0.17,30.62,14.47,2.09,50.67,0.57,112.91,89.52,85.84,8.72,2.14,12.88,124.05,0.65,2.28,2.69,0.8,0.53,0.61,0.55,0.65,53.52,19.93,20.66,11.45,11.59,4.62,33.8,0.64,0.52,0.06
9,Channelbank,39.87,21.98,30.12,0.17,28.59,14.33,2.1,48.38,0.55,112.6,86.72,90.37,8.49,2.14,12.8,125.62,0.57,1.94,2.41,0.75,0.49,0.56,0.45,0.59,49.12,19.41,19.97,10.85,11.24,4.49,34.05,0.62,0.5,0.06
